index,burst,B,S,C,Y
0,1,-0.0159603,0,0.40411,0.392509
0,1,-0.0151995,0,0.4246,0.359783
0,1,-0.0155284,0,0.439901,0.42619
0,1,-0.0162126,0,0.450624,0.41168
0,1,-0.0167603,1,0.469343,0.493279
0,1,-0.0179165,0,0.503041,0.482576
0,1,-0.0175856,0,0.537071,0.549732
0,1,-0.0201032,0,0.565946,0.48834
0,1,-0.0205618,0,0.588276,0.59482
0,1,-0.0208769,0,0.604376,0.619191
0,1,-0.0198538,0,0.615191,0.550715
0,1,-0.0213205,0,0.621795,0.636067
0,1,-0.0230576,0,0.62518,0.614703
0,1,-0.0228222,0,0.62618,0.59024
0,1,-0.0216784,0,0.625455,0.600739
0,1,-0.0219744,0,0.62351,0.590032
0,1,-0.0232918,0,0.620719,0.581342
0,1,-0.0243997,0,0.617354,0.523362
0,1,-0.0247698,0,0.613607,0.527925
0,1,-0.0251604,0,0.609613,0.536104
0,1,-0.0256043,0,0.605465,0.459618
0,1,-0.0258097,0,0.601226,0.492611
0,1,-0.0263212,0,0.596939,0.565155
0,1,-0.0263529,0,0.592631,0.504452
0,1,-0.0267061,0,0.588321,0.466346
0,1,-0.0272226,0,0.584019,0.516136
0,1,-0.0277774,0,0.579734,0.482384
0,1,-0.0293796,0,0.575468,0.423921
